# npc animation ids observed in the reference client NPC_INFO ANIMATION blocks (mask bit 3), attributed
# by carrying the local npc list across packets (tools/949/npc_anims_observed.py).
# death_candidate = last animation before the npc was removed, within 12 packets, after a HITS block.
# kill_candidate = animation sent in the same packet as the last damaging hit on the npc, no animation after it, and a later ANIMATION -1 reset.
session	packet	npc_index	npc_id	name	anim0	anim1	anim2	anim3	delay	animgroup	death_candidate	kill_candidate
session-01	30	13513	25841	Pickle the cat	19272	19272	19272	19272	128		0	0
session-01	33	13513	25841	Pickle the cat	19272	19272	19272	19272	128		0	0
session-01	50	13513	25841	Pickle the cat	19370	19370	19370	19370	128		0	0
session-01	64	13513	25841	Pickle the cat	19275	19275	19275	19275	128		0	0
session-01	110	13513	25841	Pickle the cat	19276	19276	19276	19276	128		0	0
session-01	111	46240	1030	Gourmet impling	12831	12831	12831	12831	128		0	0
session-01	158	13544	4273	Goblin	6183	6183	6183	6183	128		0	0
session-01	159	13544	4273	Goblin	6182	6182	6182	6182	128		0	0
session-01	162	13513	25841	Pickle the cat	19272	19272	19272	19272	128		0	0
session-01	177	13551	4272	Goblin	6189	6189	6189	6189	128		0	0
session-01	178	13551	4272	Goblin	6188	6188	6188	6188	128		0	0
session-01	180	13551	4272	Goblin	6190	6190	6190	6190	128		0	0
session-01	932	12533	15	Warrior woman	388	388	388	388	128		0	0
session-01	933	12533	15	Warrior woman	388	388	388	388	128		0	0
session-01	934	12533	15	Warrior woman	836	836	836	836	128		0	0
session-01	940	12531	15	Warrior woman	388	388	388	388	128		0	0
session-01	943	12531	15	Warrior woman	388	388	388	388	128		0	0
session-01	944	12531	15	Warrior woman	836	836	836	836	128		0	0
session-01	952	12579	4274	Goblin	6183	6183	6183	6183	128		0	0
session-01	955	12579	4274	Goblin	6183	6183	6183	6183	128		0	0
session-01	956	12579	4274	Goblin	6182	6182	6182	6182	128		0	0
session-01	1011	12529	15	Warrior woman	388	388	388	388	128		0	0
session-01	1012	12529	15	Warrior woman	386	386	386	386	128		0	0
session-01	1014	12529	15	Warrior woman	836	836	836	836	128		0	1
session-01	1027	12572	4275	Goblin	6182	6182	6182	6182	128		0	1
session-01	1040	12561	4265	Goblin	6182	6182	6182	6182	128		0	1
session-01	1051	12579	4274	Goblin	6183	6183	6183	6183	128		0	0
session-01	1053	12579	4274	Goblin	6182	6182	6182	6182	128		0	0
session-01	1062	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1063	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1064	11767	1588	Moss giant	4658	4658	4658	4658	128		0	0
session-01	1067	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1069	11767	1588	Moss giant	4658	4658	4658	4658	128		0	0
session-01	1071	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1073	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1074	11767	1588	Moss giant	4658	4658	4658	4658	128		0	0
session-01	1075	11767	1588	Moss giant	4659	4659	4659	4659	128		0	0
session-01	1084	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1086	11770	4688	Moss giant	4658	4658	4658	4658	128		0	0
session-01	1088	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1089	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1091	11770	4688	Moss giant	4658	4658	4658	4658	128		0	0
session-01	1092	11770	4688	Moss giant	4659	4659	4659	4659	128		0	0
session-01	1112	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1115	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1119	11768	1587	Moss giant	4659	4659	4659	4659	128		0	0
session-01	1142	51210	30267	None	24743	24743	24743	24743	128		0	0
session-01	1143	11766	112	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1144	51178	30265	None	35204	35204	35204	35204	128		0	0
session-01	1145	51186	30266	None	35249	35249	35249	35249	128		0	0
session-01	1146	11766	112	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1147	11766	112	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1149	11766	112	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1149	51178	30265	None	35204	35204	35204	35204	128		0	0
session-01	1149	51210	30267	None	24743	24743	24743	24743	128		0	0
session-01	1150	11766	112	Moss giant	4659	4659	4659	4659	128		0	1
session-01	1155	11767	1588	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1156	51178	30265	None	35204	35204	35204	35204	128		0	0
session-01	1156	51210	30267	None	24743	24743	24743	24743	128		0	0
session-01	1157	11767	1588	Moss giant	4659	4659	4659	4659	128		0	1
session-01	1164	11770	4688	Moss giant	4658	4658	4658	4658	128		0	0
session-01	1166	51178	30265	None	35204	35204	35204	35204	128		0	0
session-01	1166	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1167	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1168	51186	30266	None	35249	35249	35249	35249	128		0	0
session-01	1168	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1169	51210	30267	None	24743	24743	24743	24743	128		0	0
session-01	1169	11770	4688	Moss giant	4658	4658	4658	4658	128		0	0
session-01	1170	11770	4688	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1171	51178	30265	None	35204	35204	35204	35204	128		0	0
session-01	1173	11770	4688	Moss giant	4659	4659	4659	4659	128		0	1
session-01	1190	51210	30267	None	24743	24743	24743	24743	128		0	0
session-01	1191	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1193	51178	30265	None	35204	35204	35204	35204	128		0	0
session-01	1194	51186	30266	None	35249	35249	35249	35249	128		0	0
session-01	1194	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1195	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1196	11768	1587	Moss giant	4657	4657	4657	4657	128		0	0
session-01	1197	51210	30267	None	24743	24743	24743	24743	128		0	0
session-01	1198	11768	1587	Moss giant	4659	4659	4659	4659	128		0	1
session-01	1229	51178	30265	None	35205	35205	35205	35205	128		0	0
session-01	1233	51186	30266	None	35251	35251	35251	35251	128		0	0
session-01	1240	51210	30267	None	24727	24727	24727	24727	128		0	0
session-01	1394	22949	5910	Cook	896	896	896	896	128		0	0
session-01	1404	21596	1017	Chicken	24186	24186	24186	24186	128		0	0
session-01	1458	21620	708	Imp	4289	4289	4289	4289	128		0	0
session-01	1489	21592	41	Chicken	24186	24186	24186	24186	128		0	0
session-01	1489	21594	1017	Chicken	24186	24186	24186	24186	128		0	0
session-01	1510	21597	41	Chicken	24186	24186	24186	24186	128		0	0
session-01	1531	21595	41	Chicken	24186	24186	24186	24186	128		0	0
